question,option_1,option_2,option_3,option_4,correctAnswer,explanation,file name,type,rand,ID
\[ (3x + 2y)^2 - (3x - 2y)^2 = \],\(2x^2\),\(6xy\),\(12xy\),\(2x^2 + 18y^2\),3,Laws of Indices (Exponent Rules),2024_q1.jpg,a2-b2,0.037640238,271
\[ (2a -b)(2a^2 + 2ab + b^2) = \],\((a - b)^3\),\(a^3 - b^3\),\(a^3 - 2ab^2 + b^3\),\(a^3 - 2a^2b + 2ab^2 + b^3\),2,Laws of Indices (Exponent Rules),2019_q1.jpg,(a+b)(a^2+ab+-b^2),0.001179559,210
\[ (2u + v)(u + v)(u -2) = \],\(u^3 + u^2 + uv^2 + v^2\),\(u^3 + u^2 - uv^2 + v^2\),\(u^3 - u^2 + uv^2 + v^2\),\(u^3 - u^2 - uv^2 + v^2\),4,Laws of Indices (Exponent Rules),2021_q3.jpg,(a+b)(a-b)(a-1),0.00143785,556
\[ (3x + 3y)^2 - (3x - 3y)^2 = \],\(2x^2\),\(6xy\),\(12xy\),\(2x^2 + 18y^2\),3,Laws of Indices (Exponent Rules),2024_q1.jpg,a2-b2,0.142169978,269
\[ (2a + 2b)(2a^2 + ab + 2b^2) = \],\((a - b)^3\),\(a^3 - b^3\),\(a^3 - 2ab^2 + b^3\),\(a^3 - 2a^2b + 2ab^2 + b^3\),2,Laws of Indices (Exponent Rules),2019_q1.jpg,(a+b)(a^2+ab+-b^2),0.001233892,71
\[ (2u -v)(2u -v)(2u -1) = \],\(u^3 + u^2 + uv^2 + v^2\),\(u^3 + u^2 - uv^2 + v^2\),\(u^3 - u^2 + uv^2 + v^2\),\(u^3 - u^2 - uv^2 + v^2\),4,Laws of Indices (Exponent Rules),2021_q3.jpg,(a+b)(a-b)(a-1),0.001812358,704
\[ (x + 3y)^2 - (x - 3y)^2 = \],\(2x^2\),\(6xy\),\(12xy\),\(2x^2 + 18y^2\),3,Laws of Indices (Exponent Rules),2024_q1.jpg,a2-b2,0.155970144,272
\[ (a + 2b)(a^2 + 2ab -2b^2) = \],\((a - b)^3\),\(a^3 - b^3\),\(a^3 - 2ab^2 + b^3\),\(a^3 - 2a^2b + 2ab^2 + b^3\),2,Laws of Indices (Exponent Rules),2019_q1.jpg,(a+b)(a^2+ab+-b^2),0.002891649,156
\[ (2a + 2b)(2a^2 -ab + b^2) = \],\((a - b)^3\),\(a^3 - b^3\),\(a^3 - 2ab^2 + b^3\),\(a^3 - 2a^2b + 2ab^2 + b^3\),2,Laws of Indices (Exponent Rules),2019_q1.jpg,(a+b)(a^2+ab+-b^2),0.003051635,173
\[ (2u -2v)(2u -2v)(u + 2) = \],\(u^3 + u^2 + uv^2 + v^2\),\(u^3 + u^2 - uv^2 + v^2\),\(u^3 - u^2 + uv^2 + v^2\),\(u^3 - u^2 - uv^2 + v^2\),4,Laws of Indices (Exponent Rules),2021_q3.jpg,(a+b)(a-b)(a-1),0.003656016,588
\[ (2a -2b)(2a^2 + ab + 2b^2) = \],\((a - b)^3\),\(a^3 - b^3\),\(a^3 - 2ab^2 + b^3\),\(a^3 - 2a^2b + 2ab^2 + b^3\),2,Laws of Indices (Exponent Rules),2019_q1.jpg,(a+b)(a^2+ab+-b^2),0.003753118,30
\[ (u -2v)(u + v)(2u -1) = \],\(u^3 + u^2 + uv^2 + v^2\),\(u^3 + u^2 - uv^2 + v^2\),\(u^3 - u^2 + uv^2 + v^2\),\(u^3 - u^2 - uv^2 + v^2\),4,Laws of Indices (Exponent Rules),2021_q3.jpg,(a+b)(a-b)(a-1),0.007440148,592
