question,option_1,option_2,option_3,option_4,correctAnswer,explanation,file name,type,rand,ID
"If \( (c -1)(3d + 4) = 4d(2c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,5.37326E-05,4858
"If \( \dfrac{\alpha}{2 -x} = \dfrac{\beta}{1 + x} \), then \( x = \)",\( \dfrac{\alpha}{\alpha - \beta} \),\( \dfrac{\alpha}{\alpha + \beta} \),\( \dfrac{\beta}{\alpha - \beta} \),\( \dfrac{\beta}{\alpha + \beta} \),4,交叉相乘 三變數A,2018_q2.jpg,交叉相乘 三變數A,0.115956194,1035
"If \( \dfrac{2}{2u} + \dfrac{1}{v} = 2 \), then \( u = \)",\( \dfrac{2v}{4v - 3} \),\( \dfrac{2v}{3 - 4v} \),\( \dfrac{3v}{4v - 2} \),\( \dfrac{3v}{2 - 4v} \),1,分數相加,2022_q5.jpg,分數相加,0.050969009,1281
"If \( \dfrac{2y + 1}{c} = \dfrac{y }{d} \), then \( y = \)",\( \dfrac{c - d}{c + d} \),\( \dfrac{d - c}{c + d} \),\( \dfrac{c + d}{c - d} \),\( \dfrac{c + d}{d - c} \),1,交叉相乘 三變數B,2013_q2.jpg,交叉相乘 三變數B,0.019829672,1063
"If \( \dfrac{a + 3b}{2a} = 4 + \dfrac{b}{a} \), then \( a = \)",\( \dfrac{2b}{3} \),\( \dfrac{3b}{2} \),\( \dfrac{5b}{6} \),\( \dfrac{6b}{5} \),3,分子拆分,2017_q3.jpg,分子拆分,0.000164157,1163
"If \( \dfrac{a + 5b}{7a + 2b} = \dfrac{1}{b -3} \), then \(a = \)",\( \dfrac{4 - b}{5b^2 + 13b} \),\( \dfrac{4 + b}{5b^2 + 13b} \),\( \dfrac{5b^2 + 13b}{4 - b} \),\( \dfrac{5b^2 + 13b}{4 + b} \),2,交叉相乘 兩變數,2023_q1.jpg,交叉相乘 兩變數,0.001018822,891
"If \( k = \dfrac{1}{2m} -3n \), then \( m = \)",\( \dfrac{5}{2(k - n)} \),\( \dfrac{5}{2(n - k)} \),\( \dfrac{2(k - n)}{5} \),\( \dfrac{2(n - k)}{5} \),1,取出分母,2024_q3.jpg,取出分母,0.002583742,1581
"If \( (2c -2)(3d -3) = 2d(3c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,5.3999E-05,2684
"If \( (2c + 1)(3d + 4) = 4d(4c + 3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.000193205,8538
"If \( (c + 1)(2d + 2) = 3d(2c -3) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.00033021,7762
"If \( (2c -1)(3d + 3) = 2d(3c + 2) \), then \( c = \)",\( \dfrac{3d - 4}{7d + 12} \),\( \dfrac{3d + 4}{7d - 12} \),\( \dfrac{7d - 12}{3d + 4} \),\( \dfrac{7d + 12}{3d - 4} \),2,無分母,2025_q4.jpg,無分母,0.000459316,3594
