question,option_1,option_2,option_3,option_4,correctAnswer,explanation,file name,type,rand,ID
\[ \frac{5}{7x + 3} + \frac{3}{7x - 3} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.000168452,226
\[ \frac{2}{7x + 2} + \frac{3}{7x - 2} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.000267386,110
\[ \frac{4}{6x + 2} + \frac{5}{6x - 2} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.000492529,1371
\[ \frac{2}{6x + 1} + \frac{3}{6x - 1} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.000496986,33
\[ \frac{3}{2x + 4} - \frac{4}{2x - 4} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.000521377,775
\[ \frac{2}{7x + 1} - \frac{1}{7x - 1} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.001194339,510
\[ \frac{2}{2x + 4} + \frac{2}{2x - 4} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.001833033,267
\[ \frac{5}{2x + 2} - \frac{5}{2x - 2} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.003251412,1105
\[ \frac{5}{6x + 1} - \frac{1}{6x - 1} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.003561254,945
\[ \frac{3}{x + 4} + \frac{2}{x - 4} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.004338207,544
\[ \frac{4}{3x + 1} - \frac{2}{3x - 1} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.004410268,815
\[ \frac{3}{5x + 3} + \frac{4}{5x - 3} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.004922989,814
\[ \frac{1}{5x + 2} + \frac{3}{5x - 2} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.005043974,1218
\[ \frac{5}{7x + 3} - \frac{5}{7x - 3} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.006013271,365
\[ \frac{1}{3x + 2} + \frac{5}{3x - 2} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.007982069,1353
\[ \frac{4}{2x + 1} - \frac{4}{2x - 1} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.00926543,715
\[ \frac{5}{4x + 4} + \frac{4}{4x - 4} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.00927714,740
\[ \frac{1}{4x + 3} + \frac{5}{4x - 3} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.009350996,1377
\[ \frac{1}{4x + 2} - \frac{5}{4x - 2} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.010276227,742
\[ \frac{1}{3x + 4} - \frac{2}{3x - 4} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.011299863,822
\[ \frac{2}{4x + 4} - \frac{1}{4x - 4} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.011748525,1017
\[ \frac{2}{7x + 1} + \frac{1}{7x - 1} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.012675667,546
\[ \frac{2}{x + 1} - \frac{4}{x - 1} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.013252896,1159
\[ \frac{5}{6x + 2} - \frac{4}{6x - 2} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.014576036,309
\[ \frac{1}{2x + 4} - \frac{4}{2x - 4} = \],,,,,1,Algebraic Common Denominator,2023_q2.jpg,Algebraic Common Denominator,0.014879458,74
