question,option_1,option_2,option_3,option_4,correctAnswer,explanation,file name,type,rand,ID
"\[ \text{If } 6x - 7y = 40 = 2x + 11y, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0,1
"\[ \text{If } 4\alpha + \beta = 7\alpha + 3\beta = 5, \text{ then } \beta = \]",,,,,1,一條式,2016_q5.jpg,一條式,0,2
"\[ \text{If } m + 2n + 6 = 2m - n = 7, \text{ then } n = \]",,,,,1,一條式,2012_q5.jpg,一條式,0,3
"\[ \text{If } p + 3q = 4 \text{ and } 5p + 9q = 2, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0,4
"\[ \text{If } p + 2q = 8 \text{ and } 3p -q = 31, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,4.99E-07,156986
"\[ \text{If } x + y + 1= 9 = 4x -3y + 33, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,6.60E-06,9376
"\[ \text{If } p + 2q = 26 \text{ and } 2p -q = 2, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,9.28E-06,156669
"\[ \text{If } x + y + 2= 20 = 2x + y + 8, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,9.99E-06,97124
"\[ \text{If } x + y + 1= 33 = 5x -3y + 33, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,1.87E-05,34739
"\[ \text{If } x + y + 1= 1 = 7x + 5y + 1, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,2.21E-05,46000
"\[ \text{If } p + q = 7 \text{ and } 7p + 6q = 17, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,2.49E-05,151992
"\[ \text{If } x + y + 2= 3 = 2x + 3y + 11, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,2.94E-05,24679
"\[ \text{If } x + y + 2= 34 = 5x + 8y + 9, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,4.32E-05,12581
"\[ \text{If } x + y + 2= 22 = 4x -7y + 30, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,4.43E-05,59773
"\[ \text{If } x + y + 2= 22 = 3x + 2y + 16, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,4.62E-05,52304
"\[ \text{If } x + y + 1= 29 = 3x + 7y + 37, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,4.69E-05,95132
"\[ \text{If } p + q = 24 \text{ and } 2p -9q = 4, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,4.80E-05,165993
"\[ \text{If } p + q = 22 \text{ and } p -q = 12, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,5.33E-05,113944
"\[ \text{If } x + y + 2= 30 = 6x + y + 12, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,6.06E-05,30360
"\[ \text{If } p + 2q = 34 \text{ and } 3p + q = 17, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,7.07E-05,177795
"\[ \text{If } p + 2q = 25 \text{ and } 3p -4q = 5, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,9.39E-05,152680
"\[ \text{If } p + q = 21 \text{ and } 4p + 5q = 5, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000104309,192374
"\[ \text{If } p + q = 38 \text{ and } 3p + 10q = 37, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000114773,176116
"\[ \text{If } x + y + 1= 22 = 4x + 10y + 16, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000150807,64403
"\[ \text{If } x + y + 1= 26 = 4x + y + 1, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000152387,33071
"\[ \text{If } p + 2q = 6 \text{ and } 2p -5q = 3, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000154677,113400
"\[ \text{If } p + q = 6 \text{ and } 4p + 2q = 26, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000159271,118419
"\[ \text{If } x + y + 2= 9 = 3x -6y + 6, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000160522,44350
"\[ \text{If } x + y + 1= 38 = 6x + 8y + 8, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000162781,58879
"\[ \text{If } p + q = 8 \text{ and } 5p + 6q = 36, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000171472,196869
"\[ \text{If } p + q = 8 \text{ and } 2p -5q = 16, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.00017919,184175
"\[ \text{If } x + y + 1= 29 = 6x + 7y + 14, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000182182,52655
"\[ \text{If } p + q = 36 \text{ and } 3p + 1q = 20, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000187944,105153
"\[ \text{If } x + y + 2= 2 = 2x -y + 14, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000193818,33226
"\[ \text{If } x + y + 2= 36 = 3x + y + 18, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000195714,62831
"\[ \text{If } p + 2q = 17 \text{ and } 4p + 7q = 34, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000206848,164094
"\[ \text{If } p + 2q = 28 \text{ and } 7p -8q = 20, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.00020931,186813
"\[ \text{If } x + y + 2= 17 = 6x + 4y + 13, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000216205,65511
"\[ \text{If } x + y + 1= 2 = 6x -3y + 5, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000229131,62914
"\[ \text{If } x + y + 1= 37 = 2x + 7y + 15, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000232995,13856
"\[ \text{If } p + q = 14 \text{ and } p + 10q = 14, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000237384,190424
"\[ \text{If } p + q = 18 \text{ and } 7p + 8q = 14, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000261347,136937
"\[ \text{If } p + q = 21 \text{ and } 3p + 2q = 38, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000270795,161829
"\[ \text{If } x + y + 1= 2 = 6x + 9y + 32, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000272103,12340
"\[ \text{If } p + q = 28 \text{ and } 4p -9q = 21, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000275705,160227
"\[ \text{If } p + 2q = 18 \text{ and } 4p + 7q = 15, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000288312,174376
"\[ \text{If } p + 2q = 26 \text{ and } 6p -3q = 21, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000291057,100622
"\[ \text{If } p + 2q = 4 \text{ and } 5p + q = 38, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000302729,167900
"\[ \text{If } p + q = 34 \text{ and } 3p + 7q = 30, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000309122,111318
"\[ \text{If } x + y + 1= 37 = 3x + 4y + 35, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000314433,62280
"\[ \text{If } p + q = 6 \text{ and } 3p -q = 22, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000319394,197488
"\[ \text{If } p + q = 33 \text{ and } 2p + 3q = 20, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000320077,101230
"\[ \text{If } x + y + 1= 10 = 2x + 4y + 28, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000323575,69570
"\[ \text{If } x + y + 1= 35 = 6x + 7y + 36, \text{ then } y = \]",,,,,1,一條式,2019_q3.jpg,一條式,0.000326067,43788
"\[ \text{If } p + q = 12 \text{ and } 5p + 4q = 9, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000331748,168938
"\[ \text{If } p + q = 21 \text{ and } 7p + 3q = 15, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000340704,127715
"\[ \text{If } p + q = 2 \text{ and } 6p + 7q = 8, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000345189,150693
"\[ \text{If } p + q = 12 \text{ and } 7p + 6q = 24, \text{ then } p = \]",,,,,1,兩條式,2015_q3.jpg,兩條式,0.000359398,104622
